;Punjab;Haryana;Rajasthan;Delhi;UP;Uttarakhand;HP;J&K;Chandigarh;Chhattisgarh;Gujarat;MP;Maharashtra;Goa;DNH;Andhra Pradesh;Telangana;Karnataka;Kerala;Tamil Nadu;Pondy;Bihar;Jharkhand;Odisha;West Bengal;Sikkim;Arunachal Pradesh;Assam;Manipur;Meghalaya;Mizoram;Nagaland;Tripura
12.01.2019;137.9;151.9;189.9;92.6;298.6;34.7;26.апр;34.6;4;85.2;294.1;161.1;421.8;12.фев;17.июн;168.1;173.2;163.5;69.9;298.4;8;82.3;24.мар;82.4;154.7;1;02.янв;30.янв;02.май;6;01.авг;2;04.июн
13.01.2019;135.8;141.4;186.9;89.4;310;36.7;26.апр;32.7;03.авг;87.6;301.2;168.6;408.3;12.апр;17.июн;164.9;176.9;162.4;72.4;314.1;08.апр;87.7;24.авг;84.3;155.3;1;02.янв;30.янв;02.май;05.сен;01.авг;02.фев;04.авг
14.01.2019;139.3;143.8;195.2;82.2;319.5;35.5;26.сен;37.6;03.май;89.6;305.6;170.7;406.3;12.апр;18.май;163.3;177;156.7;69.6;305.9;08.мар;88.2;24.авг;85.7;143.9;0.9;02.янв;31.июл;02.май;05.апр;01.авг;02.янв;5
15.01.2019;141.1;142.9;185.4;77.8;326.7;34.3;25.июн;39.5;03.фев;88;290.5;170.2;392.1;12.апр;17.мар;160.7;174.3;138.7;64.2;288.7;07.апр;93.7;24.авг;82.1;143.4;0.7;02.фев;29.фев;02.май;05.фев;01.июл;02.фев;04.авг
16.01.2019;231.9;180.5;175.3;111.8;399;41;29.апр;41.8;6;89.2;299.5;185.1;377.1;11.мар;18.сен;155.2;161.3;175.2;68.5;301.4;07.июн;93.5;22.янв;82.6;152.9;0.7;02.фев;31.мар;02.мар;05.июн;01.авг;02.фев;05.авг
17.01.2019;253.8;196.4;197.2;115.6;412.5;41.7;29.авг;42.3;05.июн;83.5;282;183.7;368.4;11.мар;18.апр;161.8;156.5;167.1;70.3;313.9;07.июл;98.9;22.мар;85.9;167.7;0.8;02.фев;33.1;02.май;05.май;01.авг;02.фев;04.фев
18.01.2019;236.4;193.9;209.8;117.9;426;40.3;27.сен;36.7;5;82.2;269.1;183.4;360.8;11.мар;18.мар;169.9;169.4;182.5;71.6;321.5;08.фев;106.1;24.янв;89.1;175.9;0.8;02.май;32.5;02.май;05.авг;01.июн;02.мар;04.мар
19.01.2019;229.8;201.8;197.6;121.9;437.9;42.4;28.июл;38.5;05.мар;86.8;260.2;183.7;371.2;11.авг;18.янв;166;171.8;185;72.6;325.8;08.мар;105.5;23.авг;98.1;180.6;0.9;02.апр;31.4;02.июн;05.июн;01.июн;02.фев;04.авг
20.01.2019;195;192.3;197.6;121.7;428.3;42.4;28.янв;40.4;05.янв;90;273.8;189.3;362.4;11.авг;17.июл;153.9;152;184.7;72.4;325.4;08.мар;106.7;25;96.5;178.9;0.9;02.янв;33;02.июн;05.июн;01.июл;02.фев;05.май
21.01.2019;207.1;182.9;189.7;112.2;407.9;39.8;28.авг;41.7;05.фев;87.5;276.7;187.9;356.6;11.авг;17.сен;153.3;144.5;179.9;72.1;311.5;8;109.1;24.авг;97.6;178.9;0.8;02.фев;34.3;02.июл;05.июл;01.авг;02.мар;05.апр
22.01.2019;218.9;178.2;191.9;108;417.1;38.8;26.май;42.5;05.янв;90.2;263.5;188.2;330.8;08.фев;16.мар;152.6;150.3;157.5;65.5;295.3;07.июн;111;23.авг;97.2;173;0.6;02.мар;33.3;02.май;05.июл;01.авг;02.апр;04.сен
23.01.2019;136;150.5;227.2;109.3;395.8;41.5;27.мар;44.3;04.авг;105.7;391.4;219.7;499.4;13.май;18.сен;194.9;175;230.1;82.3;340.6;08.сен;101.7;27.май;97.1;183.4;01.янв;02.фев;22.май;01.авг;05.июн;01.авг;02.фев;05.май
24.01.2019;132.5;154.7;231.6;111.9;410.9;41.8;27.июн;43.9;5;105.9;385.3;219.7;508.9;13.май;18.авг;193.7;177.3;214.8;79.5;332.7;09.янв;105;25.сен;98;175.5;01.фев;02.мар;21.мар;02.май;05.июн;01.июн;02.фев;04.май
25.01.2019;134.3;155.2;232.4;114.2;408.7;40.2;25.июл;43.7;05.янв;103.7;380.2;218.4;456;13.май;17.апр;176.4;160.9;180.6;74.8;298.4;06.июн;102.1;23.фев;97.1;161.2;0.9;02.фев;18.июл;02.апр;04.сен;01.июл;02.янв;04.сен
26.01.2019;135.9;143.2;229.6;112.7;373.4;35.5;26.фев;43.1;04.июл;105.8;380.6;219.8;485.9;13.май;18.янв;172.4;165.2;209.6;80.7;330;07.апр;100.1;25;87.7;169.5;01.фев;02.фев;22.мар;02.апр;05.июн;01.июн;02.фев;05.апр
27.01.2019;141.2;138.9;226.9;105;341.6;37.9;27;45.3;04.июл;98.3;379.4;212.8;485.2;13.май;18.фев;181;168.4;223.4;81.9;347.2;08.июн;82.8;21.апр;51.1;135.6;01.мар;02.фев;23.июн;02.апр;05.июн;01.авг;02.мар;04.янв
28.01.2019;144.5;148.6;222.4;100.5;393.3;41.8;26.сен;46.2;04.апр;94.8;377.9;210;485.1;11.июн;18.мар;189.4;168.8;224.5;80.8;346.6;08.авг;80.4;18.июл;55.8;103.6;01.янв;2;18.июл;02.мар;04.июл;01.май;2;02.апр
29.01.2019;139.6;141.8;223.8;96.4;365.3;37.8;24.июл;43.9;04.янв;94.7;362.8;208.6;475.9;10.июл;18.фев;189.8;163;215.5;75.3;329.5;08.апр;87.9;23.авг;62;131.5;1;01.авг;18.мар;01.сен;5;01.май;01.сен;03.апр
30.01.2019;60;66.5;131.8;41.8;220.4;16.авг;12.июл;45.3;02.фев;71.9;203.5;150.4;348.4;06.сен;01.июн;160.4;206.5;215.7;67.8;242.7;4;65.3;21.сен;80.1;125.7;01.янв;01.авг;20;02.апр;03.апр;01.июн;01.сен;03.апр
31.01.2019;62.7;68.1;141.4;43.1;220.8;17.мар;12.май;41.9;02.фев;67.8;212;155.6;345.2;06.июл;01.июл;162.7;203.2;218.2;69.3;244.1;04.фев;69.4;22.авг;76.1;126.1;01.фев;2;20.май;02.май;03.апр;01.июн;02.янв;03.сен
02.02.2019;63.6;66.7;141.3;42.9;234.8;17.авг;13;40.2;02.мар;72.6;217.1;158.9;344.3;07.янв;01.мар;164.2;204.8;221.6;70.2;245.2;04.фев;71.2;23.апр;77.3;128;01.мар;01.май;20.сен;02.апр;03.апр;01.июн;2;03.сен
03.02.2019;63.5;66.8;145.1;44.9;241.2;18.фев;12.июн;43.5;02.фев;73.4;221.5;162.7;353.3;07.фев;01.июл;163.7;200.5;220.7;70.3;243.9;04.фев;77.4;23;73.2;127.6;01.янв;01.май;20.сен;02.апр;03.апр;01.июн;2;03.авг
04.02.2019;68;71.3;147.7;43.8;246.2;18.мар;12.апр;43.4;02.фев;75.7;224;165.5;369.8;07.фев;01.июл;165.8;202.4;226.7;71.4;246.5;04.мар;78.3;23.мар;72.8;131.6;1;01.май;19.июл;02.апр;03.апр;01.май;2;03.июн
05.02.2019;72.1;70.3;149;43.5;241.2;18.сен;13.мар;43.2;02.фев;75.4;229.7;165.4;376;07.фев;01.авг;165.2;194;226.2;71.4;250.2;04.мар;76.1;24;70.7;136.8;01.мар;01.апр;19.май;02.мар;03.июн;01.май;02.янв;02.июн
06.02.2019;70.5;71.2;148.9;44.1;241.3;18.май;12.май;41.5;02.фев;70.8;232.2;165.8;378;07.фев;01.авг;163.2;189.8;228.8;71.7;250.6;04.мар;75.1;24.янв;70.3;138.9;01.фев;01.май;19.авг;02.мар;03.авг;01.июн;2;03.янв
07.02.2019;92;96.2;175.3;60.3;260.1;24.июн;17;41.3;02.сен;67.4;215.2;154.6;305.6;10.янв;11.апр;152.8;144.5;128.2;64.6;201.2;05.май;79.7;24.мар;76.6;115.4;0.7;02.фев;21.май;02.май;05.май;01.июл;02.апр;04.фев
08.02.2019;105.8;105.6;188.1;63.2;262.8;27.июл;21.май;42.9;03.мар;71.2;229.6;156.5;320.1;10.янв;14;156.7;145.3;133.8;64.4;218.6;06.мар;80;23.июн;77.4;115.1;0.7;2;24.мар;02.апр;05.июл;01.июл;2;04.фев
09.02.2019;110.1;116.2;201.3;68.4;268.2;30.сен;25.фев;43.3;03.июн;74;234.9;166;350.4;10.янв;15.мар;149.8;145.8;136.9;63.5;221.8;6;79.4;22.июл;80.1;117.4;0.9;2;25.мар;02.май;05.авг;01.авг;2;4
10.02.2019;112.4;119.5;209.7;67.6;273.2;31.9;26.апр;42.8;03.июн;75.1;261.5;175;360.6;12.мар;17;148.7;148.6;146.8;60.6;230.7;06.янв;82.6;23.авг;78.3;123.7;01.янв;01.авг;26.май;02.апр;6;01.июл;2;03.авг
11.02.2019;111.3;122.5;210.8;69;276.9;33.3;27.янв;44.2;03.июн;74.3;282.1;180.7;362.2;12.мар;17.фев;153.8;150.8;121;62.3;245.8;06.апр;82.7;24.апр;83.3;124.9;01.фев;02.янв;25.сен;02.апр;05.авг;01.июн;02.мар;04.янв
12.02.2019;108.5;117.4;205;64.8;281.4;33.2;26.июл;43.9;03.май;74.1;278.5;184;360.6;12.мар;17.фев;155.2;150.5;142.8;65;253.6;06.авг;79.5;23.сен;84.1;123.3;01.фев;02.янв;25.фев;02.май;05.авг;01.сен;02.янв;04.янв
13.02.2019;98.8;104.3;202.4;61.2;268.8;30.мар;24.сен;42.2;03.янв;74.4;261.9;181.7;357.5;12.мар;17.фев;157.5;147.6;141.7;60.3;243;06.мар;77.9;23.июн;84;116.8;01.янв;01.сен;24.май;02.июн;05.сен;01.июл;02.мар;04.янв
14.02.2019;104.6;118.9;232.8;71.8;261.4;38.5;29.июн;48.5;03.авг;73.7;317.3;228.3;394.1;09.авг;17.сен;149.2;141.7;205.3;68.8;295;07.янв;72.2;21.июн;82.3;124.4;01.мар;02.фев;23.сен;02.авг;06.мар;01.сен;02.янв;03.сен
15.02.2019;109.7;125.6;236.7;71.7;264.7;38.6;30.2;48.9;03.авг;75.1;322.3;233.3;399.5;11.май;18.фев;148.1;157;204.5;70.1;297.2;07.мар;72.6;23.сен;80.3;125.4;01.май;02.янв;23.июн;02.май;06.мар;01.авг;02.фев;03.июн
16.02.2019;112.8;129.1;237;72.7;272.5;40.2;31.май;49.4;4;76.1;321.8;235.5;405.3;11.май;18.янв;151.5;162.6;211.1;70.9;304.7;07.фев;74.7;24.мар;76.4;126.8;01.июн;02.фев;23.июл;02.сен;05.сен;01.сен;02.янв;03.июл
17.02.2019;110.7;126.4;235.2;71.6;272.5;40.5;30.сен;47.3;03.сен;78.4;326.9;237;403.4;11.май;18.янв;150.5;166.8;213;70.8;301.5;07.фев;73.6;25;75.6;128.6;01.май;02.фев;23.май;02.сен;06.фев;01.сен;02.фев;03.июл
18.02.2019;109.5;125.1;236.6;71.3;268;35.7;30.апр;42.9;03.сен;78.8;322.6;237.1;399.3;11.май;17.июн;159.5;167.8;217.6;70.6;302.2;07.янв;73.3;24.авг;73.5;132.4;01.май;02.фев;23.авг;02.июл;06.мар;01.авг;02.фев;03.авг
19.02.2019;106.7;127.3;234.3;69.2;270;39.6;29.авг;49.4;03.июн;78.1;319.9;238.5;403.5;11.май;17.сен;160.8;169.7;212.9;70.2;294.6;06.июн;74.1;24.апр;74.4;127.1;01.апр;02.фев;23.сен;02.авг;06.фев;01.сен;02.фев;04.мар
20.02.2019;101.5;118.2;232;67;264.3;36.6;27.апр;48.9;03.мар;79;312.3;235.3;392.4;11.сен;17.авг;159.1;172.1;200.4;64.3;282.4;06.май;74;23.апр;73.3;119.8;01.фев;02.фев;22.июн;02.сен;06.фев;2;02.фев;03.июн
21.02.2019;155.9;165.3;248.1;111.8;428.2;45;28.сен;46.7;05.фев;94.3;385.7;224;509.5;12.апр;14.июн;197;176;194.9;85.6;345.5;09.фев;105.3;28.фев;96.5;185.5;01.мар;02.фев;25.фев;02.май;04.июл;01.май;02.фев;5
22.02.2019;166.3;173.6;257.9;114.9;435.6;46.5;29.апр;47.8;05.апр;89;391.1;227.4;516.4;11.авг;17.апр;201;181.8;214.1;88.1;356.2;09.апр;108.7;28.май;89.5;186.1;01.мар;02.янв;28;02.июл;5;01.июл;2;5
23.02.2019;175.9;179.3;256.2;121.6;444.4;46.3;29.фев;47.2;05.июн;85;389.9;226.3;515.8;12.мар;16.июл;197.1;186.6;206.3;79.6;345.2;08.сен;107.7;28.фев;86.6;198.1;01.янв;02.фев;28.июн;02.авг;05.мар;01.авг;02.янв;05.июн
24.02.2019;183.6;185.9;250;128.1;469;46.7;30.мар;47;6;88.6;394.1;226.4;509.6;12.мар;17.авг;183.2;177.5;213.1;85.1;349.5;09.мар;92.4;26.мар;91.6;189;1;02.янв;27;02.май;04.сен;01.июл;02.фев;05.мар
25.02.2019;188.8;189.1;255.7;131.6;445.2;47.8;30.май;47.4;06.фев;86.2;392.8;226.6;505.9;12.мар;16.май;196.3;181.2;212.7;84.1;343;09.фев;80.5;24.авг;96.6;175.9;01.фев;02.янв;26.июл;02.апр;04.сен;01.июл;02.янв;04.авг
26.02.2019;186.4;188.4;261.6;132.2;438.9;47.7;28.авг;42.3;06.апр;37.2;393;223.9;500.6;12.мар;17.фев;197.3;170.9;198.9;81.7;336.8;08.июн;99.7;25.мар;96.8;176;01.фев;02.фев;28.авг;02.фев;05.май;01.авг;02.фев;03.мар
27.02.2019;186.9;182;260.2;132.7;439;43;27;46.8;6;88.5;376.2;215.2;489.6;12.мар;16.мар;194.2;167;184.8;77.6;313.7;08.фев;88.8;25.янв;85.8;153.4;0.9;2;29.авг;02.мар;05.сен;01.июл;02.май;04.апр
28.02.2019;107.5;123.5;238.4;69;281.2;38.9;28.апр;51.2;04.июн;82.3;332.4;255.7;454.7;09.авг;17.фев;182.9;215;228.3;72.1;296.7;7;79.9;26.мар;70.1;113.9;02.янв;02.фев;22.июл;02.сен;06.июл;01.май;02.мар;03.апр
02.03.2019;102.9;116.3;240.6;72.1;270.4;38.7;28.июн;52.2;04.апр;80.8;338;258.5;467;10.фев;18.сен;187.8;218.5;233.3;74.2;307;07.апр;80.6;26.мар;71;119.5;02.фев;02.фев;23.апр;02.сен;06.июн;01.июл;02.апр;03.июн
03.03.2019;104.2;123.1;240.9;71.8;271.8;38.5;29.фев;48.4;04.мар;80.8;330.5;259.6;461.9;10.фев;18.авг;191;219.7;235.8;75;302.4;07.сен;76.8;24.фев;71.5;114.1;02.фев;02.янв;23.фев;02.июн;06.июн;01.июл;02.фев;04.фев
04.03.2019;106.9;124;240.9;71.1;271.2;39.3;30.авг;49.9;04.янв;83.2;327.8;258;454.7;10;18.июл;191.8;219.4;239.4;74.1;308;07.апр;80.6;26.янв;71.2;120.5;2;02.янв;24.янв;02.июн;06.май;01.июн;02.янв;03.сен
05.03.2019;111.2;125.6;243.6;73;282.1;39.6;31.авг;51.3;04.апр;81.9;330.4;262.8;448.3;09.фев;18.апр;190;224.4;240.7;75;314.3;07.апр;78.9;25.июн;70.1;118.9;2;02.май;22;02.июн;06.апр;01.авг;02.янв;03.сен
06.03.2019;111.6;124.7;243.7;68;276.9;39.2;30.авг;51.1;4;80.8;324;264.8;443.4;10.июн;17.авг;188.6;210.8;233.8;73.7;306.3;07.июн;76.8;24.янв;70.1;119.8;02.янв;02.фев;23;02.июн;06.июн;01.июл;02.янв;4
07.03.2019;106.1;116.3;242.5;67.3;276.8;36.3;27.июл;49.5;03.июл;81.6;316.4;265.1;435.6;09.янв;17.авг;182.7;204.6;217.7;67;282.7;06.июл;78;24.июл;75.1;111.4;01.сен;02.фев;21.июн;02.июн;06.июл;01.июл;02.фев;03.июн
08.03.2019;245.8;186;229.7;111.7;362.8;39.8;28.июл;35.2;05.апр;88.7;319.9;166.9;423.5;10.фев;18.авг;175.5;218.1;172.7;62.9;284.8;07.июл;109.4;23.сен;87.6;163.7;0.8;02.мар;36.8;02.июн;05.май;01.июл;02.мар;05.янв
09.03.2019;256.7;204.4;232.4;121.6;405.5;43.6;29.апр;40.8;06.янв;87.7;313;169.2;429;10.фев;18.авг;184.6;225.4;182.3;63.4;302.4;08.фев;111.8;24.авг;88.5;167.1;0.9;02.мар;37;02.июн;05.фев;01.июл;02.мар;05.июн
10.03.2019;265.3;217;221;128;429.1;45.7;30;41.6;06.май;93.2;302.4;175.4;439.3;11.янв;18.авг;187.2;235.2;186.2;61.7;312;08.апр;115.4;25.мар;84.8;170.3;0.9;02.фев;33.8;02.апр;05.июл;01.июн;02.апр;05.мар
11.03.2019;266.5;214.8;217.3;132.7;430.6;44.2;30.июл;42.1;6;96.3;305.7;182.6;449.4;11.мар;19.янв;194.8;241.7;191.8;65.6;310.8;08.июн;117.8;24.сен;89.2;173.5;1;02.фев;37.2;02.май;05.июн;01.авг;02.апр;05.апр
12.03.2019;257.9;214;212.7;132.6;431.3;44.3;29.авг;39.7;06.янв;96.4;316.9;185.6;431.4;11.апр;19;190.4;239.4;192.7;65.6;307;08.май;117.6;27.авг;94.8;178.5;1;02.мар;36.4;02.июл;05.мар;01.авг;02.фев;6
13.03.2019;260.3;218.3;214.6;129.7;439.7;43.4;31.май;41.7;06.фев;97;323.9;186.8;402.8;11.апр;18.апр;182.7;205.2;184.8;66.1;303.6;08.апр;117.6;27;95.7;177.2;0.9;02.апр;34.9;02.май;05.апр;01.авг;02.янв;04.июл
14.03.2019;233.4;194.6;203.9;113.9;409.2;34.9;27.июл;37.9;05.мар;95.7;300.1;184;374.7;09.июл;17.сен;167.9;170.6;172.1;60.2;278.7;07.апр;117.9;25.сен;96.9;165.2;0.6;02.янв;35.2;02.апр;05.фев;01.июл;02.янв;04.июл
15.03.2019;87.5;87.9;164;57.8;235.1;19.фев;13.июн;41.8;02.июл;67.7;277.2;175.7;404.6;08.июл;4;148.6;140;196.3;63.9;228.7;04.май;67.3;20.апр;59.5;98.4;01.янв;01.апр;19.янв;01.сен;04.мар;01.май;2;02.авг
16.03.2019;81.5;86.6;165.4;51.2;222.1;20.янв;14;40.8;02.июн;64.1;286.2;168.3;405.7;09.июл;04.июл;150.9;137;201.7;66.2;230.9;05.фев;71.9;20.апр;63;97.7;01.апр;2;19.июн;02.мар;04.янв;01.июн;2;03.апр
17.03.2019;89.6;93.4;180.1;58.4;249;21.июн;14.июл;41.5;02.июн;67.5;291;182.2;408.1;09.мар;05.янв;155.8;131.8;206.8;68.5;236.3;05.апр;67.1;20.мар;66.1;91.6;01.мар;01.май;19.сен;02.янв;04.фев;01.апр;02.янв;03.апр
18.03.2019;96.5;102.4;188.8;63;276.4;22.июн;15.июн;41.8;02.авг;68.2;294.3;186.1;408.8;10;05.апр;142.2;130.5;184;65.4;221.8;05.апр;74.1;21.апр;65.5;97.1;01.мар;01.май;19.авг;02.янв;04.янв;01.апр;2;03.апр
19.03.2019;103.4;108.4;190.9;66.1;287.7;22.апр;16.янв;41.2;3;70.9;296.2;189.2;405.1;10.янв;05.июл;151.3;140.2;189.7;67.7;228.8;05.июл;83.8;22.май;67.5;106.8;01.мар;01.апр;21.май;02.фев;04.апр;01.апр;01.авг;03.янв
20.03.2019;109;114.4;198.4;69.6;268.6;21.июл;15.сен;41.4;03.янв;73;292.6;186.9;400.2;09.янв;05.мар;151.8;133.8;189.7;67.5;234.4;05.апр;70.2;21.авг;67.4;101.9;1;01.май;21.авг;02.фев;04.фев;01.апр;01.сен;03.июл
21.03.2019;109;112.5;206.6;68.3;287.1;23.мар;16.июл;38.3;03.фев;74.7;295.5;193.3;409.9;09.июл;05.авг;157.9;137;187.9;70.5;245.3;06.фев;71.3;22;70.2;95.6;01.мар;01.июл;21.июл;2;4;01.апр;01.авг;04.май
22.03.2019;101.7;114.5;216.7;62.5;260.8;33.1;27.сен;44.5;03.фев;71.6;334.9;248.2;438;12.мар;18.мар;169.5;178.7;196.3;72;269.1;06.авг;66.6;24.апр;72.1;107.5;01.май;02.фев;22.июн;02.май;05.сен;01.июл;02.янв;03.май
23.03.2019;100.3;114.2;214.5;63.5;258.2;34.1;28.апр;44.2;03.апр;72.8;339.2;250.9;442.3;12.мар;18.май;169.5;180.8;182.1;73;280.8;7;68.3;24.июл;74.4;110.8;01.июн;02.янв;22.июл;02.апр;05.июл;01.июл;02.янв;03.апр
24.03.2019;98;108.2;218.6;62.6;258.4;34.6;28.июн;40.1;03.май;71.5;336.5;253.4;441;12.мар;18.июн;169.9;170.8;185.8;73.5;280.3;07.фев;68.7;24.фев;73.8;113.4;01.июн;2;23.мар;02.июн;05.авг;01.авг;02.фев;03.июн
25.03.2019;99.4;100.3;213;62.4;238.2;30.2;28.фев;37.9;03.май;71.4;334.7;252.8;443.7;12.май;17.июл;168.6;169;190.8;73.8;265.8;07.янв;69.3;24.янв;74.5;113;01.июн;02.янв;23.янв;02.июн;05.май;01.авг;02.фев;03.июн
26.03.2019;102.8;109.9;212.3;63.5;236.2;34.2;29.фев;44.3;03.май;71.9;336.7;250.3;443.7;12.сен;18.апр;167.7;168.6;195.3;74.2;264.7;07.мар;69;24.мар;74.9;114.1;01.май;02.янв;22.сен;02.апр;05.май;01.авг;02.фев;03.сен
27.03.2019;101.4;108.5;213.3;60.4;240.5;34.2;29.янв;44.1;03.мар;71.7;333.5;250.7;445;12.сен;18.мар;170;167.3;190.9;72;250;06.сен;69;24.май;77.5;115.6;01.апр;02.фев;23;02.май;6;01.авг;02.фев;03.апр
28.03.2019;92.9;97.7;210.3;57.2;232.6;30.сен;25.авг;43.8;03.янв;70.5;318.3;246;424.4;12.сен;17.июл;151.7;159.2;162.3;64.2;211.8;05.авг;66.8;23.июн;83.8;102.1;01.фев;02.янв;20.апр;02.июн;05.сен;01.авг;02.янв;03.апр
29.03.2019;118.3;117.7;209.5;61.7;291.7;35.2;26.сен;45.8;03.янв;94.2;351.5;199.3;471.3;12.апр;18.мар;197.7;223.9;252.5;84.7;345.9;08.май;79.5;24.июл;87.1;152.1;01.мар;2;24.авг;02.янв;05.июл;01.июл;02.июл;03.сен
30.03.2019;123.5;123.4;216.3;64.3;279.4;35.2;26.фев;45.1;03.янв;96;355.6;200.8;484;12.апр;18.фев;197.6;229.2;273.3;86.3;341.9;08.апр;62.1;23.янв;98.4;145.2;01.май;02.фев;23.фев;02.мар;05.май;01.сен;02.июл;03.авг
31.03.2019;126.9;124.6;215.4;65.9;297.6;35.8;26.июл;46.1;03.фев;98.1;357.6;203.1;489.6;12.апр;18.апр;198.1;226.8;256.3;86.4;350.1;08.апр;72.8;23.сен;98.7;145.8;01.май;2;22.июл;02.апр;05.июн;01.сен;02.янв;03.авг
02.04.2019;129.8;126.3;214.8;67.4;308.6;24;25.май;44.4;03.фев;97.2;364.6;204.8;487.7;12.апр;18.май;198.8;225.6;254.3;86.7;346;08.май;78.7;23.авг;90.5;160.1;01.апр;02.янв;24.июн;02.май;05.июл;01.сен;02.фев;03.сен
03.04.2019;131.5;129.4;222.9;71.8;317.9;36.9;25.июн;36;03.апр;97.6;366.5;205.8;483.3;12.апр;18.мар;199.6;227.8;255.8;86.5;351.1;08.апр;81.5;23.авг;90.8;172.7;01.мар;02.мар;25.авг;02.апр;6;01.июн;02.янв;04.янв
04.04.2019;130.8;127.6;220.4;73.9;320;36.8;25.янв;41.9;03.апр;102.9;366.4;208.4;484;12.апр;18.мар;200.4;229.1;253.5;85.9;349.3;08.апр;84.1;23.авг;91.3;164.2;01.мар;02.мар;25.июн;02.май;05.июн;01.июн;02.мар;04.фев
05.04.2019;121.4;113.9;217.5;69.1;292.2;34.1;23.янв;41.6;3;97.8;350.5;202.5;462;12.апр;17.июл;196.7;219.1;232.7;79.3;327;07.авг;85.1;24;83.1;158.4;0.8;01.авг;15.фев;2;05.апр;01.апр;01.авг;03.авг
06.04.2019;101.8;117.4;232.4;61.4;261.4;35.9;28.июн;46.7;03.мар;82.4;326.2;226.5;439.4;10.сен;18.фев;190.1;217.3;235.1;75.2;318.5;07.июн;72.5;17.апр;76.4;111.8;01.фев;01.сен;23.июл;02.июл;06.май;01.сен;02.янв;03.июл
07.04.2019;100.3;117.4;228.8;64.1;259.6;36.2;29.авг;47.3;03.мар;89.8;319.2;223.9;433.9;10.сен;18.апр;194.2;218.5;234.5;77.1;327.6;07.июл;73;21.янв;75;112.5;01.мар;02.фев;22.авг;02.янв;06.июн;01.июл;02.янв;02.сен
08.04.2019;101.6;117.2;222.5;66.1;241.9;37;30.авг;48.2;03.май;92.1;314.6;212;432.9;10.сен;18.май;199.6;219.5;237.7;78.2;332.8;07.сен;62.3;21.янв;77.4;109.7;01.июн;02.фев;22.апр;02.июл;06.апр;01.июл;02.янв;03.май
